<<<<<<< HEAD
=======
rest_time_before_fridge_hours,time_in_fridge_days,bake_day_sit_time_hours,bake_day_sit_method,result_texture,result_overall,notes
1,3,4,room temp,chewy/tough,5,na
1,4,3,room temp,chewy,6,na
3,3,2,room temp,airy,8,na
1,3,2,oven_light,dense,5,na
2.45,2,4.5,room temp,airy/chewy,8,Very good. I might want more browing on crust for flavor. Crust didn't puff up a ton but i also make a small dough. crust was close to perfect
2.45,3,4.5,room temp,airy/cripsy/chewy,8,very good
2.45,4,4,room temp,airy/fluffy,8,na
2.2,3,5,room temp,chewy,7,didn't browning as much on top not a hugefan. tastes good but not how i want
2.2,4,6,room temp(in slighty warmer room),air/cripsy/chewy,10,made dough with cold water. very good. ate too fast and cut the roof of my mouth. yummo
2.5,4,6,room temp(in slighty warmer room),air/cripsy/chewy,11,made dough with cold water. best I've had. was bbq chicken amazing. Perfect crust/ bottom
>>>>>>> 90a68e7f3db6d0cf51d03b0bc4ed25b7d397145f
