Text30,Text40,Text8,Text37,Text49,Text38,Text33,Text31,Text13,Text24,Text43,Text35,Text34,Text36
09/01/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"2,800.09",0.00,,"2,800.09",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,18,,13.79,0.77,,11.00,8,0.00,,0.00,44,1,2.79
09:00 - 09:59 am,28,,17.00,0.61,,17.00,18,0.00,,0.00,64,0,0.00
10:00 - 10:59 am,44,,42.00,0.95,,42.00,32,0.00,,0.00,73,0,0.00
11:00 - 11:59 am,24,,87.47,3.64,,45.00,20,36.99,,1.54,83,2,5.48
12:00 - 12:59 pm,40,,94.99,2.37,,94.99,24,0.00,,0.00,60,0,0.00
01:00 - 01:59 pm,34,,80.98,2.38,,43.99,21,36.99,,1.09,62,0,0.00
02:00 - 02:59 pm,31,,71.98,2.32,,(2.00),14,73.98,,2.39,45,0,0.00
03:00 - 03:59 pm,29,,28.00,0.97,,28.00,26,0.00,,0.00,90,0,0.00
04:00 - 04:59 pm,29,,13.84,0.48,,11.00,20,0.00,,0.00,69,2,2.84
05:00 - 05:59 pm,20,,10.00,0.50,,10.00,14,0.00,,0.00,70,0,0.00
06:00 - 06:59 pm,29,,11.00,0.38,,11.00,16,0.00,,0.00,55,0,0.00
07:00 - 07:59 pm,20,,10.00,0.50,,10.00,12,0.00,,0.00,60,0,0.00
08:00 - 08:59 pm,3,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/02/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"2,771.43",0.00,,"2,771.43",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,5,,2.69,0.54,,0.00,3,0.00,,0.00,60,1,2.69
08:00 - 08:59 am,39,,71.00,1.82,,71.00,18,0.00,,0.00,46,0,0.00
09:00 - 09:59 am,27,,2.69,0.10,,0.00,15,0.00,,0.00,56,1,2.69
10:00 - 10:59 am,39,,60.00,1.54,,60.00,17,0.00,,0.00,44,0,0.00
11:00 - 11:59 am,54,,87.99,1.63,,87.99,20,0.00,,0.00,37,0,0.00
12:00 - 12:59 pm,48,,95.18,1.98,,90.00,23,0.00,,0.00,48,2,5.18
01:00 - 01:59 pm,43,,58.99,1.37,,22.00,18,36.99,,0.86,42,0,0.00
02:00 - 02:59 pm,33,,49.00,1.48,,49.00,19,0.00,,0.00,58,0,0.00
03:00 - 03:59 pm,37,,50.99,1.38,,50.99,15,0.00,,0.00,41,0,0.00
04:00 - 04:59 pm,34,,11.00,0.32,,11.00,25,0.00,,0.00,74,0,0.00
05:00 - 05:59 pm,33,,81.98,2.48,,44.99,26,36.99,,1.12,79,0,0.00
06:00 - 06:59 pm,24,,21.00,0.88,,21.00,17,0.00,,0.00,71,0,0.00
07:00 - 07:59 pm,24,,33.00,1.38,,33.00,19,0.00,,0.00,79,0,0.00
08:00 - 08:59 pm,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/03/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"2,594.80",0.00,,"2,594.80",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,30,,42.79,1.43,,40.00,14,0.00,,0.00,47,1,2.79
09:00 - 09:59 am,27,,0.00,0.00,,0.00,16,0.00,,0.00,59,0,0.00
10:00 - 10:59 am,52,,77.96,1.50,,3.98,31,73.98,,1.42,60,0,0.00
11:00 - 11:59 am,25,,0.00,0.00,,0.00,10,0.00,,0.00,40,0,0.00
12:00 - 12:59 pm,30,,69.99,2.33,,69.99,14,0.00,,0.00,47,0,0.00
01:00 - 01:59 pm,28,,60.00,2.14,,60.00,11,0.00,,0.00,39,0,0.00
02:00 - 02:59 pm,32,,11.00,0.34,,11.00,20,0.00,,0.00,63,0,0.00
03:00 - 03:59 pm,41,,55.00,1.34,,55.00,21,0.00,,0.00,51,0,0.00
04:00 - 04:59 pm,34,,11.00,0.32,,11.00,17,0.00,,0.00,50,0,0.00
05:00 - 05:59 pm,30,,21.00,0.70,,21.00,12,0.00,,0.00,40,0,0.00
06:00 - 06:59 pm,25,,20.00,0.80,,20.00,16,0.00,,0.00,64,0,0.00
07:00 - 07:59 pm,26,,23.00,0.88,,23.00,20,0.00,,0.00,77,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/04/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"2,935.67",0.00,,"2,935.67",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,6,,0.00,0.00,,0.00,1,0.00,,0.00,17,0,0.00
08:00 - 08:59 am,17,,0.00,0.00,,0.00,8,0.00,,0.00,47,0,0.00
09:00 - 09:59 am,19,,5.28,0.28,,0.00,22,0.00,,0.00,116,2,5.28
10:00 - 10:59 am,40,,123.98,3.10,,50.00,24,73.98,,1.85,60,0,0.00
11:00 - 11:59 am,32,,114.98,3.59,,41.00,18,73.98,,2.31,56,0,0.00
12:00 - 12:59 pm,34,,18.99,0.56,,(18.00),23,36.99,,1.09,68,0,0.00
01:00 - 01:59 pm,35,,61.99,1.77,,25.00,20,36.99,,1.06,57,0,0.00
02:00 - 02:59 pm,29,,11.00,0.38,,11.00,20,0.00,,0.00,69,0,0.00
03:00 - 03:59 pm,33,,63.68,1.93,,60.99,16,0.00,,0.00,48,1,2.69
04:00 - 04:59 pm,23,,53.97,2.35,,(57.00),16,110.97,,4.82,70,0,0.00
05:00 - 05:59 pm,28,,40.00,1.43,,40.00,33,0.00,,0.00,118,0,0.00
06:00 - 06:59 pm,11,,19.99,1.82,,19.99,8,0.00,,0.00,73,0,0.00
07:00 - 07:59 pm,16,,22.00,1.38,,22.00,15,0.00,,0.00,94,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/05/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"4,270.32",0.00,,"4,270.32",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,30,,58.99,1.97,,58.99,18,0.00,,0.00,60,0,0.00
09:00 - 09:59 am,34,,103.99,3.06,,103.99,25,0.00,,0.00,74,0,0.00
10:00 - 10:59 am,30,,15.99,0.53,,(21.00),23,36.99,,1.23,77,0,0.00
11:00 - 11:59 am,46,,21.00,0.46,,21.00,17,0.00,,0.00,37,0,0.00
12:00 - 12:59 pm,40,,49.99,1.25,,13.00,21,36.99,,0.92,53,0,0.00
01:00 - 01:59 pm,51,,156.96,3.08,,82.98,29,73.98,,1.45,57,0,0.00
02:00 - 02:59 pm,42,,33.00,0.79,,33.00,19,0.00,,0.00,45,0,0.00
03:00 - 03:59 pm,28,,64.97,2.32,,(9.01),19,73.98,,2.64,68,0,0.00
04:00 - 04:59 pm,35,,(15.75),(0.45),,(17.00),20,0.00,,0.00,57,1,1.25
05:00 - 05:59 pm,25,,51.00,2.04,,51.00,21,0.00,,0.00,84,0,0.00
06:00 - 06:59 pm,19,,37.00,1.95,,37.00,13,0.00,,0.00,68,0,0.00
07:00 - 07:59 pm,19,,0.00,0.00,,0.00,8,0.00,,0.00,42,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/06/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"3,287.39",0.00,,"3,287.39",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,13,,47.17,3.63,,39.00,2,0.00,,0.00,15,3,8.17
09:00 - 09:59 am,34,,23.00,0.68,,23.00,11,0.00,,0.00,32,0,0.00
10:00 - 10:59 am,52,,102.94,1.98,,65.95,28,36.99,,0.71,54,0,0.00
11:00 - 11:59 am,38,,32.00,0.84,,32.00,15,0.00,,0.00,39,0,0.00
12:00 - 12:59 pm,47,,57.99,1.23,,57.99,26,0.00,,0.00,55,0,0.00
01:00 - 01:59 pm,40,,139.93,3.50,,65.95,30,73.98,,1.85,75,0,0.00
02:00 - 02:59 pm,28,,125.81,4.49,,48.99,11,73.98,,2.64,39,2,2.84
03:00 - 03:59 pm,46,,80.99,1.76,,44.00,20,36.99,,0.80,43,0,0.00
04:00 - 04:59 pm,31,,15.99,0.52,,(21.00),18,36.99,,1.19,58,0,0.00
05:00 - 05:59 pm,37,,47.99,1.30,,37.99,20,10.00,,0.27,54,0,0.00
06:00 - 06:59 pm,46,,17.00,0.37,,17.00,28,0.00,,0.00,61,0,0.00
07:00 - 07:59 pm,12,,10.00,0.83,,10.00,2,0.00,,0.00,17,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/07/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"4,248.36",0.00,,"4,248.36",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
12:00 - 12:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
05:00 - 05:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/08/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"3,317.44",0.00,,"3,317.44",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,1,,0.00,0.00,,0.00,4,0.00,,0.00,400,0,0.00
08:00 - 08:59 am,54,,59.79,1.11,,57.00,46,0.00,,0.00,85,1,2.79
09:00 - 09:59 am,46,,44.00,0.96,,44.00,38,0.00,,0.00,83,0,0.00
10:00 - 10:59 am,41,,62.00,1.51,,62.00,23,0.00,,0.00,56,0,0.00
11:00 - 11:59 am,64,,99.00,1.55,,99.00,24,0.00,,0.00,38,0,0.00
12:00 - 12:59 pm,49,,33.00,0.67,,33.00,28,0.00,,0.00,57,0,0.00
01:00 - 01:59 pm,41,,161.96,3.95,,124.97,26,36.99,,0.90,63,0,0.00
02:00 - 02:59 pm,36,,98.48,2.74,,95.99,17,0.00,,0.00,47,1,2.49
03:00 - 03:59 pm,40,,143.98,3.60,,106.99,13,36.99,,0.92,33,0,0.00
04:00 - 04:59 pm,63,,104.99,1.67,,68.00,34,36.99,,0.59,54,0,0.00
05:00 - 05:59 pm,38,,188.92,4.97,,72.99,14,115.93,,3.05,37,0,0.00
06:00 - 06:59 pm,21,,21.00,1.00,,21.00,9,0.00,,0.00,43,0,0.00
07:00 - 07:59 pm,18,,0.00,0.00,,0.00,11,0.00,,0.00,61,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/09/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"3,966.15",0.00,,"3,966.15",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,41,,36.99,0.90,,36.99,30,0.00,,0.00,73,0,0.00
09:00 - 09:59 am,35,,39.99,1.14,,39.99,17,0.00,,0.00,49,0,0.00
10:00 - 10:59 am,50,,209.96,4.20,,135.98,37,73.98,,1.48,74,0,0.00
11:00 - 11:59 am,33,,57.99,1.76,,21.00,18,36.99,,1.12,55,0,0.00
12:00 - 12:59 pm,47,,21.00,0.45,,21.00,20,0.00,,0.00,43,0,0.00
01:00 - 01:59 pm,18,,36.99,2.06,,36.99,8,0.00,,0.00,44,0,0.00
02:00 - 02:59 pm,42,,28.00,0.67,,28.00,18,0.00,,0.00,43,0,0.00
03:00 - 03:59 pm,39,,39.69,1.02,,37.00,21,0.00,,0.00,54,1,2.69
04:00 - 04:59 pm,36,,107.98,3.00,,34.00,27,73.98,,2.06,75,0,0.00
05:00 - 05:59 pm,48,,27.00,0.56,,27.00,38,0.00,,0.00,79,0,0.00
06:00 - 06:59 pm,34,,62.98,1.85,,62.98,16,0.00,,0.00,47,0,0.00
07:00 - 07:59 pm,14,,23.69,1.69,,21.00,15,0.00,,0.00,107,1,2.69
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,2.69,0.00,,0.00,0,0.00,,0.00,0,1,2.69
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/10/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"3,724.45",0.00,,"3,724.45",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,2,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,0,,2.79,0.00,,0.00,0,0.00,,0.00,0,1,2.79
09:00 - 09:59 am,9,,0.00,0.00,,0.00,6,0.00,,0.00,67,0,0.00
10:00 - 10:59 am,2,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 am,36,,138.97,3.86,,138.97,14,0.00,,0.00,39,0,0.00
12:00 - 12:59 pm,43,,77.99,1.81,,77.99,10,0.00,,0.00,23,0,0.00
01:00 - 01:59 pm,24,,17.00,0.71,,17.00,15,0.00,,0.00,63,0,0.00
02:00 - 02:59 pm,25,,41.98,1.68,,4.99,9,36.99,,1.48,36,0,0.00
03:00 - 03:59 pm,25,,(13.00),(0.52),,(23.00),13,10.00,,0.40,52,0,0.00
04:00 - 04:59 pm,33,,56.98,1.73,,56.98,25,0.00,,0.00,76,0,0.00
05:00 - 05:59 pm,35,,18.00,0.51,,18.00,22,0.00,,0.00,63,0,0.00
06:00 - 06:59 pm,27,,65.00,2.41,,65.00,14,0.00,,0.00,52,0,0.00
07:00 - 07:59 pm,23,,23.00,1.00,,23.00,12,0.00,,0.00,52,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/11/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,"4,001.27",0.00,,"4,001.27",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,1,,0.00,0.00,,0.00,1,0.00,,0.00,100,0,0.00
08:00 - 08:59 am,40,,96.00,2.40,,96.00,21,0.00,,0.00,53,0,0.00
09:00 - 09:59 am,31,,31.00,1.00,,31.00,10,0.00,,0.00,32,0,0.00
10:00 - 10:59 am,33,,123.68,3.75,,84.00,21,36.99,,1.12,64,1,2.69
11:00 - 11:59 am,28,,57.99,2.07,,57.99,14,0.00,,0.00,50,0,0.00
12:00 - 12:59 pm,35,,22.69,0.65,,20.00,20,0.00,,0.00,57,1,2.69
01:00 - 01:59 pm,28,,77.99,2.79,,77.99,12,0.00,,0.00,43,0,0.00
02:00 - 02:59 pm,38,,58.52,1.54,,16.00,21,36.99,,0.97,55,3,5.53
03:00 - 03:59 pm,26,,77.96,3.00,,(43.01),15,120.97,,4.65,58,0,0.00
04:00 - 04:59 pm,45,,(10.00),(0.22),,(10.00),31,0.00,,0.00,69,0,0.00
05:00 - 05:59 pm,25,,36.99,1.48,,0.00,24,36.99,,1.48,96,0,0.00
06:00 - 06:59 pm,27,,34.00,1.26,,34.00,17,0.00,,0.00,63,0,0.00
07:00 - 07:59 pm,20,,0.00,0.00,,0.00,23,0.00,,0.00,115,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09/12/2025,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
